歌曲名字,时长,歌手
唯一,04:30,告五人
在你的身边,04:22,盛哲
再见莫妮卡,03:00,彭席彦/Franky弗兰奇
给你一瓶魔法药水,04:18,告五人
哪里都是你,03:42,队长
把回忆拼好给你,06:21,王贰浪
苦茶子,02:50,Starling8/MoreLearn 27/FIVESTAR
爱人错过 - (Somewhere in time),04:52,告五人
小城夏天,02:53,LBI利比
多远都要在一起,03:36,G.E.M.邓紫棋
带我去找夜生活,04:59,告五人
NUNA 2.0,03:43,队长/叶琼琳
孤勇者 - (《英雄联盟：双城之战》动画剧集中文主题曲),04:16,陈奕迅
11,03:54,队长/黄礼格
忏悔录 - (听我说妈妈),03:16,KKECHO/那奇沃夫/DR1P
罗生门（Follow）,04:03,梨冻紧/Wiz_H张子豪
是你,03:43,梦然
这世界那么多人 - (电影《我要我们在一起》主题曲),04:45,莫文蔚
水星记,05:25,郭顶
Letting Go - (这是一封离别信),04:06,刘大拿
Letting Go,04:23,蔡健雅
还是会想你,03:10,林达浪/h3R3
形容,03:45,沈以诚
起风了,05:25,买辣椒也用券
浪漫血液 - (The Romantic),04:32,林俊杰
呓语,04:31,毛不易
忘不掉的你,02:52,h3R3
致你 - (女声版),04:31,yihuik苡慧
予你 - (《解药》官方主题曲Ⅱ),03:51,队长
隆里电丝 (LIVE版),03:39,盛宇D-SHINE/KEY.L刘聪/ICE
So Far Away - (遥不可及),03:03,Martin Garrix/David Guetta/Jamie Scott/Romy Dya
晚风,03:22,7copy/BT07
爱上你是一个错（烟嗓）,02:26,烟(许佳豪)
STAY,02:21,The Kid LAROI/Justin Bieber
NUNA,03:42,队长
或许,03:41,LBI利比
Empty Love - (空洞的爱),02:50,Lulleaux/Kid Princess
给你呀（又名：for ya）,02:33,蒋小呢
晚风心里吹,03:06,阿梨粤
Normal No More - (不再平庸),03:19,TYSM
漠河舞厅·2022,05:04,柳爽
阿兹海默,03:25,张小伙/粥粥zxr
还是分开,03:46,张叶蕾
爱上你是一个错,04:05,杨培安
危险派对,03:00,王以太/刘至佳
Shadow Of The Sun,02:10,王OK(王澳珂)
谁 (Live版),04:14,廖俊涛
But U,03:45,NINEONE#
特别的人 - (Special Person),04:19,方大同
删了吧 - (要不你还是把我删了吧),03:24,烟(许佳豪)
浪漫主义,03:36,姜云升
In The Shadow Of The Sun,03:56,Professor Green
Stay The Night - (情深一夜),02:46,Just Kiddin/Camden Cox
错位时空,03:23,艾辰
So Far Away (Acoustic),02:51,Adam Christopher
沉沦与遐想,02:33,C.HØPE
想去海边,04:27,夏日入侵企画
三国恋,03:41,王巨星
与我无关,04:00,阿冗
像我这样的人,03:27,毛不易
初恋,03:42,回春丹
MOM - (妈妈),02:54,蜡笔小心
Wake (Live),04:35,Hillsong Young & Free
最佳损友,03:53,陈奕迅
Bones,02:45,Imagine Dragons
星辰大海,03:27,黄霄雲
天外来物,04:17,薛之谦
晚安,04:49,颜人中
Letting Go - (我的眼泪),04:21,陈老兮
悬溺,03:17,葛东琪
篇章,04:09,张韶涵/王赫野
爱立刻有 - (ชอบเธออะ (I Like You)女生版),02:40,Bell玲惠
总有一天你会出现在我身边,04:30,棱镜乐队
Love Is Gone (Acoustic),02:56,SLANDER/Dylan Matthew
兄妹 - (女声治愈版),02:57,刘大拿
再见,03:26,G.E.M.邓紫棋
再等冬天(Memories),02:48,h3R3
账号已注销,03:42,太一
消愁,04:21,毛不易
先说谎的人,02:48,h3R3
耍把戏,03:27,阿禹ayy
异地恋 - (我每天问一百次),02:52,ZAVIS/坤木Joymo
新地球 - (Brave New World),04:37,林俊杰
你的轮廓 - (我穿过所有浪漫银河),03:57,叶琼琳
下雨天,04:25,与少年他/芝麻Mochi
海芋恋·2022,02:20,范世錡
有些,03:49,颜人中
大眠 (完整版),03:04,小乐哥（王唯乐）
Time to Pretend - (伪装时刻),05:14,Lazer Boomerang
命运,03:32,粉太狼
外婆桥,04:21,任然
光的影子 - (Shadow Of The Sun中文版),03:38,不知名选手Au/高旭
Everybody Dies In Their Nightmares,01:35,XXXTENTACION
情歌 (Live),03:42,范本桐
他只是经过,03:35,h3R3/高旭
可不可以,04:00,张紫豪
必杀技,03:50,古巨基
嘉宾,04:30,路飞文
永不失联的爱 - (Unbreakable Love),04:19,周兴哲
See Tình (Speed Up Version),02:22,Hoang Thuy Linh
Dancing With Your Ghost,03:17,Sasha Alex Sloan
楼顶上的小斑鸠,03:42,队长
不将就 - (电影《何以笙箫默》片尾主题曲),05:12,李荣浩
某年某月某天,05:15,颜人中
年少有为,04:39,李荣浩
Princess - (我的女孩),02:31,XMASwu（吴骜）
Slow Down - (放缓),03:23,Madnap/Pauline Herr
保留,04:30,郭顶
提词,04:10,房东的猫
山楂树之恋,03:04,程佳佳
必杀技 - (温柔版),03:32,Ecrolyn
如果呢,04:17,郑润泽
我都明白 - (《追尾》官方主题曲),04:09,范倪Liu
走马,03:55,陈粒
我多想拥抱你,03:13,黑屋乐队
溯 (Reverse),03:12,CORSAK胡梦周/马吟吟
高阶萌妹成长指南,03:23,Hanser
阿拉斯加海湾,03:57,蓝心羽
大雾 - (大雾四起 偷偷藏匿),02:14,未知音素/张一乔
下一个天亮,04:10,颜人中
最好的我 - (我明白要你爱是荒谬的要求),03:58,刘大拿/刘思达LOFTHESTAR
夏日漱石 (Summer Cozy Rock),04:23,橘子海 (Orange Ocean)
海底,04:16,一支榴莲
你走以后1.0,03:54,王恩信Est/二胖u（王訫）
失眠飞行,03:27,接个吻，开一枪/沈以诚/薛黛霏
素颜,03:58,许嵩/何曼婷
他不懂,03:52,张杰
橘子,03:33,Tizzy T/洪一诺
Cure For Me,03:21,AURORA
百年孤寂,04:57,苏玮
五百二十赫兹 - (520hz),03:06,Capper
麒麟 (LIVE版),03:08,早安
爱要怎么说出口 - (女声版),03:11,澪恩Seiwen
red lips（被我蒙对）,03:28,沙一汀EL
遗失的心跳 - (完整版),03:14,糯米Nomi
别怕变老 (LIVE版),04:08,王以太/艾热 AIR
像鱼,04:45,王贰浪
世间美好与你环环相扣,03:11,柏松
Daylight - (日光),02:42,Seredris
簇拥烈日的花,03:49,Morerare/迟里乌布
别怕变老,04:05,王以太/艾热 AIR
爱上你是一个错 - (伤感吉他版),02:41,刘大壮
岁月神偷,04:04,金玟岐
Watch Me Work,04:29,Tinashe
人来疯（LIVE版）,04:06,艾热 AIR/王以太/杨和苏KeyNG/早安
戒烟,04:53,李荣浩
遗失的心跳 - (Missing Heartbeat),03:36,萧亚轩
偏爱和例外,02:50,烟(许佳豪)
我的美丽 - (说唱版),04:04,海洋Bo/高睿
夏天的风,03:41,火羊瞌睡了
Star (反方向的钟),03:00,XMASwu（吴骜）
雨爱 - (雨上晴空),03:54,不是花火呀
独到 - (《Normal No More》中文版),03:15,高睿
慢慢喜欢你 (Live at EasON AIR),04:19,陈奕迅
阴天快乐 - (女声版),04:17,yihuik苡慧
Bet On Me (Organic Version),02:51,Walk off the Earth/D Smoke
路过人间,04:48,郁可唯
玫瑰少年 - (小提琴版),02:00,Strictlyviolin荀博/王朝
风是从哪儿来 - (我们打着光脚在风车下跑，手上的狗尾巴草摇啊摇),02:32,Bell玲惠
麻雀,04:12,李荣浩
美人鱼,04:14,林俊杰
越来越不懂,03:49,蔡健雅
星河万里,03:32,Rom邢锐
梦醒,03:29,handsome lau/HYPEEZY/冯泳
Hug me (抱我),02:30,蔡徐坤
Bet On Me,02:52,Walk off the Earth/D Smoke
心跳的证明 - (心动有声),03:48,不是花火呀
暖一杯茶,04:03,邵帅
double take,02:51,dhruv
经济舱 - (Vol.Flightin'),03:39,KEY.L刘聪/Kafe.Hu
南半球与北海道,03:29,范倪Liu
遗失的心跳 - (Missing Heartbeat),03:36,萧亚轩
我们打着光脚在风车下跑，手上的狗尾巴草摇啊摇,02:32,等一下就回家/-艾兜
一样的月光,04:00,徐佳莹
过,03:23,王嘉尔/林俊杰
对你说 - (你也会爱上一个人付出很多很多),03:57,张茜
盗墓笔记·十年人间 - (八一七稻米节主题推广曲),04:37,李常超 (Lao乾妈)
断线,04:17,Shang/lil sophy
怎么了 - (What's Wrong),05:21,周兴哲
给你给我,04:01,毛不易
虞兮叹,03:30,闻人听書_
一分一寸,03:56,阿YueYue/霓虹之后
沈园外,03:43,阿YueYue/戾格/小田音乐社
红豆,03:24,要不要买菜
光年之外 - (电影《太空旅客》中文主题曲),03:55,G.E.M.邓紫棋
爱你,03:30,王心凌
匿名的好友 - (不能握的手),03:16,小包Zerinn
很久很久,05:20,杨和苏KeyNG
Unstoppable,03:37,Sia
中间人,03:20,Ice Paper
多情种,03:34,要不要买菜
阴天快乐,04:20,陈奕迅
嗜好,04:44,颜人中
带你看海,02:28,CJ 周密
月亮之矢,03:54,孤矢/虞娱
落在生命里的光,03:37,尹昔眠
吴哥窟,03:45,吴雨霏
头头是道 (LIVE版),04:54,艾热 AIR/王以太
漠河舞厅,05:34,柳爽
第三人称,04:29,买辣椒也用券
